customer_name,email,phone_number,order_id,product,quantity,price,order_date,product_id,product_name,category,price-2,stock_quantity,rating,order_id-2,price_per_unit,total_price,order_date-2
Chris Miller,john_miller@gmail.com,928194458,ORD1016,Smartphone,4,761.37,10-12-2023,P017,Smartwatch,Electronics,320.52,31,3.2,160,1168.86,1009.44,15-08-2023
David Martinez,michael_martinez@yahoo.com,906560923,ORD1017,Smartphone,1,541.54,12-10-2023,P018,Headphone,Accessories,463.39,52,1,NULL,NULL,NULL,NULL
Michael Williams,david_jones@gmail.com,933357983,ORD1018,Smartphone,3,676.29,25-09-2021,P019,Laptop,Accessories,301.39,29,2.3,NULL,NULL,NULL,NULL
David Garcia,john_smith@outlook.com,942439181,ORD1019,Tablet,5,607.58,13-11-2023,P020,Smartwatch,Electronics,1350.31,38,2.5,200,783.64,161.61,11-08-2023
David Brown,daniel_brown@yahoo.com,951934834,ORD1020,Monitor,6,90.72,24-09-2022,P021,Tablet,Accessories,166.34,30,2.6,420,1305.84,588.63,03-09-2023
David Brown,daniel_brown@yahoo.com,951934834,ORD1020,Monitor,6,90.72,24-09-2022,P021,Tablet,Accessories,166.34,30,2.6,309,1291.98,310.07,12-03-2023
David Brown,daniel_brown@yahoo.com,951934834,ORD1020,Monitor,6,90.72,24-09-2022,P021,Tablet,Accessories,166.34,30,2.6,122,290.34,753.39,15-04-2023
David Brown,daniel_brown@yahoo.com,951934834,ORD1020,Monitor,6,90.72,24-09-2022,P021,Tablet,Accessories,166.34,30,2.6,94,972.13,965.56,31-10-2023
Michael Miller,emily_jones@hotmail.com,917047292,ORD1021,Headphones,6,932.15,08-09-2023,P022,Headphone,Accessories,810.54,81,3.8,171,1106.85,1214.35,22-07-2023
Alex Jones,chris_brown@yahoo.com,993206136,ORD1022,Tablet,4,392.76,08-07-2021,P023,Smartwatch,Electronics,645.08,99,2.6,NULL,NULL,NULL,NULL
Chris Jones,chris_williams@outlook.com,966870661,ORD1023,Monitor,9,587.58,16-11-2020,P024,Laptop,Accessories,1474.45,1,2.8,NULL,NULL,NULL,NULL
Michael Miller,emily_garcia@outlook.com,988265022,ORD1024,Laptop,9,726.47,10-06-2022,P025,Laptop,Electronics,212.46,77,2,322,66.56,827.11,22-06-2023
Chris Williams,daniel_williams@hotmail.com,976836681,ORD1025,Laptop,3,226.62,05-12-2021,P026,Smartphone,Accessories,626.89,76,2.5,222,346.79,322.2,27-07-2023
Alex Johnson,katie_wilson@gmail.com,908142515,ORD1026,Headphones,8,256.17,05-03-2023,P027,Smartphone,Electronics,1455.73,92,1.9,NULL,NULL,NULL,NULL
Chris Johnson,john_davis@gmail.com,933913766,ORD1027,Tablet,5,768.1,30-07-2023,P028,Tablet,Electronics,1304.99,11,1.3,153,741.51,585.88,29-12-2023
Sarah Wilson,michael_wilson@yahoo.com,905801266,ORD1028,Smartphone,4,230.34,16-12-2022,P029,Smartwatch,Electronics,1234.75,38,3.4,NULL,NULL,NULL,NULL
Chris Brown,sarah_jones@gmail.com,967739961,ORD1029,Monitor,2,747.69,30-05-2021,P030,Smartwatch,Accessories,423.96,65,3.7,456,400.93,257.35,16-08-2023
Alex Garcia,emily_martinez@hotmail.com,920989621,ORD1030,Monitor,4,617.92,07-01-2021,P031,Smartphone,Electronics,297.79,95,3.5,55,1171.06,282.53,25-04-2023
Daniel Brown,jane_davis@gmail.com,975281292,ORD1031,Monitor,8,696.08,07-09-2022,P032,Smartwatch,Accessories,1019.53,12,2.9,298,719.49,591.03,14-10-2023
Daniel Brown,jane_davis@gmail.com,975281292,ORD1031,Monitor,8,696.08,07-09-2022,P032,Smartwatch,Accessories,1019.53,12,2.9,197,327.81,1366.37,08-08-2023
Daniel Miller,daniel_brown@outlook.com,960810110,ORD1032,Monitor,4,359.82,28-10-2020,P033,Smartwatch,Electronics,1397.6,45,2.5,NULL,NULL,NULL,NULL
Daniel Jones,alex_wilson@hotmail.com,902781586,ORD1033,Headphones,4,902.05,03-10-2022,P034,Laptop,Electronics,857.31,26,4.5,370,592.19,263.55,24-06-2023
David Jones,jane_garcia@gmail.com,911956688,ORD1034,Monitor,8,96.18,24-07-2020,P035,Smartphone,Accessories,878.84,16,3.1,454,939.27,1456.39,12-10-2023
David Jones,jane_garcia@gmail.com,911956688,ORD1034,Monitor,8,96.18,24-07-2020,P035,Smartphone,Accessories,878.84,16,3.1,20,466.74,319.19,27-07-2023
Michael Johnson,jane_jones@outlook.com,992602065,ORD1035,Smartphone,1,363.82,20-06-2023,P036,Headphone,Electronics,455.97,94,2.9,59,51.96,382.92,25-12-2023
Jane Miller,michael_johnson@yahoo.com,995614437,ORD1036,Tablet,10,449.27,04-02-2022,P037,Smartphone,Electronics,1165.76,97,1.1,NULL,NULL,NULL,NULL
Sarah Martinez,jane_miller@gmail.com,910242384,ORD1037,Headphones,2,716.93,26-09-2021,P038,Headphone,Accessories,321.21,59,2.4,449,425.13,367.13,27-09-2023
Sarah Smith,daniel_johnson@hotmail.com,996426608,ORD1038,Headphones,10,853.74,08-01-2021,P039,Laptop,Electronics,519.33,63,2.5,431,641.82,708.29,11-09-2023
Katie Martinez,sarah_brown@hotmail.com,900036952,ORD1039,Laptop,2,947.27,03-03-2020,P040,Tablet,Electronics,666.88,87,2.6,280,292.62,614.38,21-12-2023
Sarah Brown,sarah_johnson@hotmail.com,953360739,ORD1040,Monitor,8,250.41,10-03-2020,P041,Smartwatch,Electronics,786.04,34,3.3,371,1419.45,1460.96,10-03-2023
John Miller,chris_wilson@hotmail.com,920867359,ORD1041,Monitor,3,542.08,18-11-2021,P042,Laptop,Electronics,401.49,69,3.1,266,1083.3,954.43,04-03-2023
John Miller,chris_wilson@hotmail.com,920867359,ORD1041,Monitor,3,542.08,18-11-2021,P042,Laptop,Electronics,401.49,69,3.1,233,1225.77,106.52,19-03-2023
Michael Johnson,john_martinez@hotmail.com,966338727,ORD1042,Smartphone,3,90.37,25-04-2020,P043,Smartwatch,Accessories,216.51,82,3.4,155,408.64,1097.97,30-12-2023
Alex Wilson,michael_wilson@yahoo.com,917024840,ORD1043,Smartphone,10,645.08,26-05-2022,P044,Tablet,Accessories,935.4,29,4.1,231,785.03,402.93,15-06-2023
Alex Wilson,michael_wilson@yahoo.com,917024840,ORD1043,Smartphone,10,645.08,26-05-2022,P044,Tablet,Accessories,935.4,29,4.1,83,1446.01,943.64,04-09-2023
Michael Jones,katie_smith@outlook.com,921239440,ORD1044,Monitor,2,917.28,10-07-2021,P045,Tablet,Electronics,468.51,70,4.3,NULL,NULL,NULL,NULL
Michael Martinez,jane_davis@gmail.com,957727712,ORD1045,Smartphone,7,278.64,22-10-2020,P046,Laptop,Accessories,892.8,73,3.9,448,679.33,454.03,31-05-2023
Alex Johnson,alex_jones@hotmail.com,947913572,ORD1046,Laptop,1,271.57,06-05-2021,P047,Tablet,Electronics,273.83,95,4.8,400,1454.38,954.8,28-11-2023
Alex Johnson,alex_jones@hotmail.com,947913572,ORD1046,Laptop,1,271.57,06-05-2021,P047,Tablet,Electronics,273.83,95,4.8,260,1011.42,870.96,30-09-2023
Sarah Johnson,david_miller@gmail.com,925576237,ORD1047,Headphones,8,521.98,16-10-2020,P048,Headphone,Accessories,747.65,97,1.1,NULL,NULL,NULL,NULL
Daniel Jones,katie_johnson@hotmail.com,967605230,ORD1048,Tablet,8,107.87,14-10-2022,P049,Tablet,Electronics,822.25,62,1.8,195,1002.12,361.62,31-03-2023
Daniel Jones,katie_johnson@hotmail.com,967605230,ORD1048,Tablet,8,107.87,14-10-2022,P049,Tablet,Electronics,822.25,62,1.8,29,539.15,796.76,25-09-2023
Daniel Miller,michael_smith@yahoo.com,959112064,ORD1049,Monitor,3,680.11,06-04-2022,P050,Smartwatch,Electronics,125.14,27,1,4,1003.16,473.96,23-05-2023
Chris Williams,emily_wilson@yahoo.com,994070367,ORD1050,Tablet,9,233.95,24-02-2020,P051,Smartwatch,Electronics,538.08,59,3.6,16,622.94,427.34,13-02-2023
Katie Davis,jane_davis@outlook.com,980245543,ORD1051,Smartphone,6,853.86,09-05-2021,P052,Smartwatch,Electronics,244.9,78,4.6,NULL,NULL,NULL,NULL
Daniel Wilson,daniel_garcia@yahoo.com,953237340,ORD1052,Tablet,10,856.98,01-12-2021,P053,Smartwatch,Electronics,141.89,93,2,NULL,NULL,NULL,NULL
David Brown,katie_martinez@yahoo.com,988161883,ORD1053,Headphones,2,70.76,19-06-2022,P054,Headphone,Electronics,1485.44,36,4.7,NULL,NULL,NULL,NULL
Emily Williams,chris_jones@outlook.com,925314116,ORD1054,Smartphone,8,322.13,09-08-2022,P055,Smartphone,Accessories,517.41,92,1.2,258,1451.93,572.62,30-08-2023
John Smith,chris_jones@hotmail.com,996184879,ORD1055,Laptop,4,829.07,18-09-2022,P056,Laptop,Electronics,1224.32,21,4.7,NULL,NULL,NULL,NULL
David Martinez,sarah_johnson@yahoo.com,913334055,ORD1056,Headphones,7,862.28,16-08-2022,P057,Smartwatch,Accessories,419.23,67,2.4,173,671.62,253.47,11-07-2023
David Martinez,sarah_johnson@yahoo.com,913334055,ORD1056,Headphones,7,862.28,16-08-2022,P057,Smartwatch,Accessories,419.23,67,2.4,54,475.3,935.29,29-05-2023
Chris Brown,michael_davis@gmail.com,913347617,ORD1057,Laptop,7,842.59,25-06-2022,P058,Tablet,Electronics,1038.18,19,1.4,220,740.69,1178.14,15-06-2023
David Garcia,alex_miller@hotmail.com,919460854,ORD1058,Smartphone,3,421.96,28-05-2023,P059,Smartwatch,Accessories,1152.33,95,2.9,317,1190,934.06,16-07-2023
David Garcia,alex_miller@hotmail.com,919460854,ORD1058,Smartphone,3,421.96,28-05-2023,P059,Smartwatch,Accessories,1152.33,95,2.9,189,886.83,737.19,07-07-2023
John Martinez,john_davis@yahoo.com,901979756,ORD1059,Smartphone,5,320.78,29-11-2020,P060,Tablet,Accessories,913.68,99,2,342,499.19,1334.84,19-05-2023
Chris Johnson,katie_johnson@yahoo.com,909131398,ORD1060,Smartphone,3,206.87,20-07-2020,P061,Tablet,Accessories,733.79,67,2.1,151,1148.1,590.17,11-03-2023
Chris Johnson,katie_johnson@yahoo.com,909131398,ORD1060,Smartphone,3,206.87,20-07-2020,P061,Tablet,Accessories,733.79,67,2.1,150,1467.1,558.25,04-10-2023
Chris Johnson,katie_johnson@yahoo.com,909131398,ORD1060,Smartphone,3,206.87,20-07-2020,P061,Tablet,Accessories,733.79,67,2.1,2,1283,142.81,03-12-2023
Chris Williams,alex_miller@hotmail.com,912470797,ORD1061,Laptop,5,271.98,27-11-2021,P062,Smartwatch,Electronics,647.17,90,2.2,NULL,NULL,NULL,NULL
Emily Miller,chris_johnson@gmail.com,933162009,ORD1062,Laptop,4,108.54,17-01-2023,P063,Headphone,Electronics,555.86,63,4.2,481,1127.18,1385.07,22-12-2023
Emily Miller,chris_johnson@gmail.com,933162009,ORD1062,Laptop,4,108.54,17-01-2023,P063,Headphone,Electronics,555.86,63,4.2,306,550.75,276.5,20-07-2023
David Johnson,emily_brown@hotmail.com,944087338,ORD1063,Monitor,9,262.54,08-10-2020,P064,Tablet,Accessories,1397.82,16,3.2,NULL,NULL,NULL,NULL
Katie Brown,emily_smith@gmail.com,935383177,ORD1064,Headphones,5,468.91,12-05-2022,P065,Tablet,Electronics,1254.4,11,2.2,166,381.58,146.37,30-08-2023
Sarah Miller,sarah_martinez@gmail.com,950200444,ORD1065,Smartphone,2,209.56,23-04-2023,P066,Smartwatch,Accessories,1449.29,21,3.4,395,347.73,1215.52,02-08-2023
Sarah Miller,sarah_martinez@gmail.com,950200444,ORD1065,Smartphone,2,209.56,23-04-2023,P066,Smartwatch,Accessories,1449.29,21,3.4,225,530.77,584.1,24-06-2023
Sarah Miller,sarah_martinez@gmail.com,950200444,ORD1065,Smartphone,2,209.56,23-04-2023,P066,Smartwatch,Accessories,1449.29,21,3.4,174,92.3,1023.18,05-01-2023
Katie Johnson,daniel_davis@gmail.com,906964117,ORD1066,Laptop,8,731.46,09-11-2021,P067,Tablet,Electronics,230.23,16,3.9,412,1449.27,1017.46,19-09-2023
John Brown,emily_garcia@outlook.com,919152639,ORD1067,Laptop,4,607.19,07-09-2020,P068,Tablet,Accessories,1109.76,9,2.1,203,102.23,1241.65,11-06-2023
Michael Davis,daniel_johnson@gmail.com,935417870,ORD1068,Laptop,5,292.5,31-05-2022,P069,Smartwatch,Accessories,1410.59,64,2.7,124,353.32,1197.76,13-02-2023
Michael Davis,daniel_johnson@gmail.com,935417870,ORD1068,Laptop,5,292.5,31-05-2022,P069,Smartwatch,Accessories,1410.59,64,2.7,24,798,1043.44,20-05-2023
Jane Jones,chris_smith@gmail.com,965926222,ORD1069,Headphones,3,660.07,26-08-2021,P070,Smartwatch,Electronics,312.79,21,1.5,100,471.23,257.12,17-03-2023
Jane Jones,chris_smith@gmail.com,965926222,ORD1069,Headphones,3,660.07,26-08-2021,P070,Smartwatch,Electronics,312.79,21,1.5,82,839.5,1441.8,16-08-2023
Jane Jones,chris_smith@gmail.com,965926222,ORD1069,Headphones,3,660.07,26-08-2021,P070,Smartwatch,Electronics,312.79,21,1.5,35,819.86,496.3,19-05-2023
Daniel Brown,michael_davis@outlook.com,975916544,ORD1070,Smartphone,3,269.47,04-05-2021,P071,Laptop,Accessories,146.42,89,1.7,NULL,NULL,NULL,NULL
Jane Williams,emily_wilson@hotmail.com,917549615,ORD1071,Smartphone,2,287.8,12-09-2020,P072,Headphone,Electronics,1124.62,81,3.7,257,1107.55,82.52,28-02-2023
Michael Martinez,emily_martinez@gmail.com,940257557,ORD1072,Monitor,6,283.93,19-10-2020,P073,Headphone,Accessories,882.99,49,1.7,482,1119.98,108.09,22-01-2023
Katie Jones,jane_johnson@hotmail.com,981318260,ORD1073,Laptop,10,67.07,14-07-2021,P074,Tablet,Accessories,1270.65,13,3.1,249,807.64,1134.87,27-02-2023
Katie Jones,jane_johnson@hotmail.com,981318260,ORD1073,Laptop,10,67.07,14-07-2021,P074,Tablet,Accessories,1270.65,13,3.1,31,230.33,567.48,17-04-2023
Daniel Jones,emily_williams@hotmail.com,992382183,ORD1074,Headphones,9,761.59,03-05-2021,P075,Headphone,Electronics,252.67,63,3.8,376,656.58,1207.53,08-10-2023
John Brown,daniel_brown@gmail.com,904479359,ORD1075,Headphones,4,884.97,17-08-2022,P076,Tablet,Electronics,1203.14,46,1.4,356,467.07,147.17,12-11-2023
John Brown,daniel_brown@gmail.com,904479359,ORD1075,Headphones,4,884.97,17-08-2022,P076,Tablet,Electronics,1203.14,46,1.4,183,1153.46,915.88,16-07-2023
Katie Smith,david_brown@outlook.com,935822251,ORD1076,Laptop,5,825.32,11-05-2022,P077,Laptop,Electronics,342.36,28,3.3,NULL,NULL,NULL,NULL
Jane Smith,sarah_johnson@gmail.com,953884080,ORD1077,Monitor,3,780.91,26-01-2020,P078,Smartwatch,Accessories,287.3,75,2,NULL,NULL,NULL,NULL
David Martinez,michael_johnson@yahoo.com,943886633,ORD1078,Headphones,1,501.6,26-08-2023,P079,Smartwatch,Electronics,288.19,35,4.9,211,799.21,520.54,11-04-2023
Chris Smith,chris_davis@hotmail.com,957374666,ORD1079,Laptop,2,885.03,15-12-2022,P080,Smartwatch,Accessories,1231.13,98,2.9,NULL,NULL,NULL,NULL
John Smith,alex_williams@hotmail.com,967629938,ORD1080,Smartphone,1,296.64,14-11-2020,P081,Headphone,Accessories,1014.54,51,4.2,148,1442.2,515.69,29-10-2023
Chris Wilson,michael_williams@outlook.com,913201594,ORD1081,Monitor,8,177.79,12-01-2022,P082,Laptop,Electronics,808.44,75,3.2,123,696.04,533.76,30-06-2023
Katie Garcia,alex_smith@outlook.com,966354239,ORD1082,Laptop,2,618.66,31-01-2023,P083,Headphone,Electronics,570.3,6,1.2,469,1112.46,412.02,13-06-2023
Katie Garcia,david_miller@hotmail.com,942617096,ORD1083,Headphones,4,174.88,01-02-2023,P084,Headphone,Accessories,1321.94,28,3.5,458,182.52,1206.71,16-04-2023
Katie Garcia,david_miller@hotmail.com,942617096,ORD1083,Headphones,4,174.88,01-02-2023,P084,Headphone,Accessories,1321.94,28,3.5,89,952.5,1068.11,26-08-2023
Katie Garcia,david_miller@hotmail.com,942617096,ORD1083,Headphones,4,174.88,01-02-2023,P084,Headphone,Accessories,1321.94,28,3.5,56,801.04,1026.79,04-03-2023
John Johnson,david_martinez@gmail.com,986255025,ORD1084,Laptop,4,883.68,21-01-2023,P085,Laptop,Accessories,619.05,10,4.8,256,52.14,238.62,17-07-2023
Emily Martinez,emily_williams@hotmail.com,998478750,ORD1085,Monitor,4,521.6,22-02-2020,P086,Laptop,Electronics,1234.07,32,3.4,182,115.12,1150.14,15-12-2023
Emily Martinez,emily_williams@hotmail.com,998478750,ORD1085,Monitor,4,521.6,22-02-2020,P086,Laptop,Electronics,1234.07,32,3.4,158,285.91,62.13,18-01-2023
Emily Martinez,emily_williams@hotmail.com,998478750,ORD1085,Monitor,4,521.6,22-02-2020,P086,Laptop,Electronics,1234.07,32,3.4,146,1366.45,1495.91,23-05-2023
Emily Martinez,michael_miller@yahoo.com,950230715,ORD1086,Monitor,3,937.48,30-01-2021,P087,Laptop,Electronics,686.75,5,4.3,126,1273.29,315.99,24-06-2023
Emily Johnson,sarah_brown@gmail.com,925684321,ORD1087,Smartphone,7,279.74,01-11-2023,P088,Laptop,Electronics,596.57,78,4.5,NULL,NULL,NULL,NULL
Sarah Wilson,david_brown@outlook.com,991932429,ORD1088,Tablet,1,861.01,13-11-2021,P089,Smartwatch,Electronics,720.89,31,1.9,240,1320.03,1494.43,06-11-2023
Daniel Johnson,john_brown@gmail.com,985519571,ORD1089,Headphones,4,350.17,09-10-2022,P090,Smartphone,Electronics,487,50,1.8,36,912.94,1374.99,13-04-2023
Sarah Martinez,chris_garcia@gmail.com,955937288,ORD1090,Headphones,7,115.78,12-07-2021,P091,Smartphone,Accessories,1134.03,74,3.4,445,184.31,254.77,24-06-2023
John Wilson,jane_jones@outlook.com,974356630,ORD1091,Smartphone,7,128.89,30-07-2023,P092,Laptop,Accessories,778.94,57,2.6,214,561.92,1057.23,06-09-2023
Michael Johnson,michael_brown@hotmail.com,975880768,ORD1092,Headphones,10,404.94,01-04-2021,P093,Smartphone,Accessories,386.71,86,4.4,NULL,NULL,NULL,NULL
Emily Miller,sarah_martinez@yahoo.com,975564824,ORD1093,Monitor,8,451.66,07-11-2023,P094,Smartphone,Accessories,1354.38,25,4.6,NULL,NULL,NULL,NULL
Chris Davis,chris_smith@outlook.com,914914049,ORD1094,Tablet,1,925.63,21-12-2022,P095,Laptop,Electronics,606.64,97,2.4,NULL,NULL,NULL,NULL
Alex Smith,daniel_miller@outlook.com,986374272,ORD1095,Tablet,2,489.82,01-06-2021,P096,Smartphone,Electronics,838.15,45,1.9,NULL,NULL,NULL,NULL
Chris Davis,john_williams@hotmail.com,956810816,ORD1096,Smartphone,2,595.41,21-10-2023,P097,Headphone,Electronics,1364.38,97,4.1,232,643.65,858.14,03-12-2023
Sarah Miller,jane_brown@hotmail.com,967683313,ORD1097,Laptop,9,801.34,18-01-2023,P098,Tablet,Accessories,955.15,28,2.1,176,1010.53,1126.27,30-06-2023
Sarah Miller,jane_brown@hotmail.com,967683313,ORD1097,Laptop,9,801.34,18-01-2023,P098,Tablet,Accessories,955.15,28,2.1,165,1392.98,845.21,09-02-2023
Sarah Miller,jane_brown@hotmail.com,967683313,ORD1097,Laptop,9,801.34,18-01-2023,P098,Tablet,Accessories,955.15,28,2.1,161,773.4,751.78,02-08-2023
Chris Garcia,daniel_martinez@outlook.com,993135344,ORD1098,Smartphone,3,98.52,17-08-2023,P099,Tablet,Accessories,219.5,3,4.3,191,1191.95,442.87,30-01-2023
Chris Martinez,john_wilson@hotmail.com,982496722,ORD1099,Tablet,3,848.69,29-03-2022,P100,Laptop,Electronics,1412.76,80,2.7,451,1099,1247.28,29-06-2023
Chris Martinez,john_wilson@hotmail.com,982496722,ORD1099,Tablet,3,848.69,29-03-2022,P100,Laptop,Electronics,1412.76,80,2.7,46,1465.22,779.54,11-07-2023
Emily Williams,katie_martinez@hotmail.com,983110143,ORD1100,Monitor,4,119.11,21-09-2021,P101,Smartwatch,Electronics,960.18,98,3.7,291,795.09,1216.4,08-08-2023
Emily Williams,katie_martinez@hotmail.com,983110143,ORD1100,Monitor,4,119.11,21-09-2021,P101,Smartwatch,Electronics,960.18,98,3.7,286,922.25,815.13,27-08-2023
Chris Martinez,chris_garcia@yahoo.com,973372951,ORD1101,Smartphone,6,640.83,13-02-2020,P102,Laptop,Accessories,535.61,12,1.4,465,442.67,1025.51,28-05-2023
Chris Martinez,chris_garcia@yahoo.com,973372951,ORD1101,Smartphone,6,640.83,13-02-2020,P102,Laptop,Accessories,535.61,12,1.4,315,601.75,77.76,18-08-2023
Jane Miller,katie_miller@gmail.com,938437568,ORD1102,Monitor,6,636.72,29-09-2023,P103,Smartwatch,Accessories,251.94,38,3.5,NULL,NULL,NULL,NULL
Emily Martinez,sarah_smith@outlook.com,974335247,ORD1103,Tablet,10,716.98,03-11-2023,P104,Tablet,Electronics,1201.34,14,2.8,264,489.25,70.85,13-02-2023
Emily Smith,emily_martinez@hotmail.com,910603629,ORD1104,Headphones,9,928.61,11-02-2022,P105,Laptop,Electronics,949.11,28,3.3,NULL,NULL,NULL,NULL
John Wilson,jane_martinez@yahoo.com,949935931,ORD1105,Tablet,3,535.12,11-05-2020,P106,Headphone,Accessories,823.52,28,1.7,79,1416.95,617,27-02-2023
John Wilson,jane_martinez@yahoo.com,949935931,ORD1105,Tablet,3,535.12,11-05-2020,P106,Headphone,Accessories,823.52,28,1.7,64,84.21,1111.98,03-07-2023
Chris Smith,daniel_davis@outlook.com,997206627,ORD1106,Headphones,10,645.49,15-07-2022,P107,Smartphone,Electronics,1346.14,74,3.9,290,198.65,991.79,27-07-2023
Chris Smith,daniel_davis@outlook.com,997206627,ORD1106,Headphones,10,645.49,15-07-2022,P107,Smartphone,Electronics,1346.14,74,3.9,88,254.16,1059.82,21-12-2023
Chris Smith,daniel_davis@outlook.com,997206627,ORD1106,Headphones,10,645.49,15-07-2022,P107,Smartphone,Electronics,1346.14,74,3.9,7,362.82,486.52,21-07-2023
Alex Wilson,daniel_johnson@gmail.com,935110395,ORD1107,Tablet,3,811.38,11-10-2020,P108,Smartwatch,Electronics,1193.47,31,4.5,384,802.12,140.72,07-05-2023
Jane Martinez,sarah_brown@yahoo.com,939661026,ORD1108,Laptop,8,664.12,31-03-2020,P109,Smartphone,Electronics,269.93,1,1.9,307,536.64,972.11,14-02-2023
Emily Davis,jane_smith@yahoo.com,939554395,ORD1109,Laptop,7,980.86,07-06-2021,P110,Smartphone,Accessories,502,46,1.4,470,929.76,431.71,12-08-2023
Alex Martinez,david_williams@hotmail.com,930082184,ORD1110,Headphones,7,198.8,14-11-2022,P111,Laptop,Accessories,410.31,77,1.1,NULL,NULL,NULL,NULL
Emily Davis,chris_brown@hotmail.com,916072298,ORD1111,Headphones,8,308.78,25-11-2021,P112,Smartphone,Accessories,1128.72,83,3.6,172,188.33,801.11,02-03-2023
David Smith,alex_smith@outlook.com,989982639,ORD1112,Smartphone,8,818.29,15-03-2021,P113,Headphone,Accessories,98.62,21,3.4,8,1032.83,778.82,30-12-2023
Alex Brown,michael_brown@gmail.com,972622609,ORD1113,Smartphone,8,876.21,07-06-2022,P114,Smartphone,Accessories,876.34,74,3.2,278,839.52,691.33,19-02-2023
David Williams,john_martinez@gmail.com,927550985,ORD1114,Smartphone,5,691.41,12-02-2023,P115,Laptop,Accessories,1155.57,26,1.9,438,1267.71,890.01,21-11-2023
Chris Davis,emily_brown@hotmail.com,977882009,ORD1115,Tablet,1,172.48,21-10-2021,P116,Headphone,Accessories,1321.31,66,2.6,213,459.62,326.84,17-11-2023
Chris Brown,jane_wilson@gmail.com,934081781,ORD1116,Laptop,5,704.89,18-03-2021,P117,Tablet,Electronics,546.02,80,3.4,423,274.5,1125.38,10-10-2023
Chris Brown,jane_wilson@gmail.com,934081781,ORD1116,Laptop,5,704.89,18-03-2021,P117,Tablet,Electronics,546.02,80,3.4,141,155.97,990.06,06-12-2023
David Wilson,chris_garcia@outlook.com,903470736,ORD1117,Laptop,2,330.69,16-01-2021,P118,Smartphone,Electronics,1240.82,55,3,11,248.07,1394.31,09-11-2023
Jane Smith,alex_johnson@gmail.com,995283888,ORD1118,Laptop,7,90.75,26-12-2021,P119,Laptop,Electronics,210.42,91,5,NULL,NULL,NULL,NULL
